ec5_uuid,created_at,title,1_Surveyor_Nickname,2_Map_sheet_number,3_Functional_Unit_Co,5_11_Name_of_organis,6_12_Description_of_,7_13_When_was_the_or,8_14_Do_you_regard_t,9_15_If_no_what_type,10_16_If_other_pleas,12_21_Total_number_o,13_22_Observed_or_Ve,14_23_How_many_FTEs_,15_24_Observed_or_Ve,16_25_Is_the_organis,17_26_How_many_peopl,19_31_Floor_levels_t,20_32_How_many_store,21_33_Unit_size_Inse,22_34_Square_metres_,23_35_Observed_or_Ve,24_36_Predominant_he,25_37_Premises_type_,26_38_If_other_pleas,27_39_Type_of_associ,28_310_Car_parking_S,29_311_Goods_access_,30_312_Are_these_pre,31_313_If_premises_a,32_314_When_did_the_,33_315_Is_the_premis,34_316_If_rentedleas,35_317_Will_the_leas,37_41_Is_the_localit,38_42_If_so_why_sele,39_43_If_locality_is,40_44_What_is_your_v,41_45_What_are_the_t,42_46_Where_are_the_,43_47_Where_are_the_,44_48_Is_the_organis,45_49_Does_the_organ,46_410_If_yes_where_,47_411_If_yes_when,48_412_If_yes_why,49_413_Are_the_organ,50_414_If_yes_please,51_415_Are_you_aware,52_416_If_yes_how_ha,53_417_If_other_plea,54_418_What_is_your_,56_51_Contact_willin,57_52_Name_of_contac,58_53_Contact_teleph,59_54_Contact_email_,60_55_Organisation_t,61_56_Organisation_w,62_57_Organisation_e,63_58_Street_name_eg,64_59_Street_number_,65_510_Postcode_Incl,66_511_Unit_number_i,68_61_Additional_not,69_62_Internal_photo,71_71_Would_the_acti,lat_72_72_Location,long_72_72_Location,accuracy_72_72_Location,73_73_External_photo,74_74_SIC_Code,75_75_Site_ID,76_76_Notes_on_any_o
2faee04b-1d5e-467f-9b67-8b380aea76cd,2019-09-20T16:21:58.775Z,"Jessica 103 1030030",Jessica,103,1030030,"I need therapy!","Counselling and psychotherapy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471034,-0.066995,65,,,,
5561cdb8-68d0-4fa3-b002-e6655db06849,2019-09-20T16:20:12.705Z,"Jessica 103 1030029",Jessica,103,1030029,"The Movement Factory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471029,-0.067002,65,,,,
437264a1-bade-451c-af77-4f9234581520,2019-09-20T16:19:38.850Z,"Jessica 103 1030028",Jessica,103,1030028,"Santiago Sounds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471033,-0.066975,65,,,,
9b3f8fd7-54ee-416e-b29f-3ee071ef40cd,2019-09-20T16:19:02.990Z,"Jessica 103 1030027",Jessica,103,1030027,"Hilary Cottam","Social entrepreneur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471035,-0.066963,65,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=9b3f8fd7-54ee-416e-b29f-3ee071ef40cd_1568996339.jpg,,,
632a6672-392c-473b-ab6d-3fa57bddc4b9,2019-09-20T16:18:04.068Z,"Jessica 103 1030026",Jessica,103,1030026,MRA,"Architecture & Interior Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471035,-0.06699,65,,,,
c46411a4-2384-49bf-b54d-ca505a199412,2019-09-20T16:17:13.320Z,"Jessica 1030022 1030024",Jessica,1030022,1030024,"Jon Enoch",Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471033,-0.066972,65,,,,
4627b386-7a10-4478-ad27-c749c433fbf6,2019-09-20T16:16:23.748Z,"Jessica 103 1030022",Jessica,103,1030022,C.Burke,"Fashion maker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471041,-0.06695,65,,,,
95ae5ce5-c7db-410f-ad6b-97737dd4d337,2019-09-20T16:15:21.019Z,"Jessica 103 1030021",Jessica,103,1030021,C.Burke,"Fashion maker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471037,-0.066963,65,,,,
640f4a30-b4d5-4793-bbe2-a6b927ecd13f,2019-09-20T16:14:40.761Z,"Jessica 103 1030020",Jessica,103,1030020,Gal-dem,"Magazine and creative collective of women of colour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471039,-0.066972,65,,,,
ce7538e8-8619-42c7-adec-a976af895820,2019-09-20T16:13:50.483Z,"Jessica 103 1030019",Jessica,103,1030019,INxSANxTY,"Visual artists",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471045,-0.066973,65,,,,
443782a1-47c5-4d23-86d9-70e39d8a4f72,2019-09-20T16:11:35.639Z,"Jessica 103 1030017",Jessica,103,1030017,"Champion 3D Print",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471031,-0.066975,65,,,,
a16917ff-5fc7-4a12-abba-9f7e68945a50,2019-09-20T16:10:32.467Z,"Jessica 103 1030016",Jessica,103,1030016,"Florencia Durante","Visual artist / art consultant / educator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471022,-0.066981,65,,,,
1cae8b0d-0ca1-457d-8b88-d448f0d033e7,2019-09-20T16:09:23.921Z,"Jessica 103 1030015",Jessica,103,1030015,"Luca Paulli","Animator, director and designer",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471048,-0.06696,65,,,,
663e0bb6-7c7d-4c04-bed1-122312b34185,2019-09-20T15:57:09.114Z,"Jessica 103 1826",Jessica,103,1826,,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=663e0bb6-7c7d-4c04-bed1-122312b34185_1568995021.jpg,,,
70b49dd5-28ef-48f7-9b80-a8b102fc5a3f,2019-09-20T15:49:33.319Z,"Jessica 103 1030051",Jessica,103,1030051,,Unidentifiable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not an original FUC however possibility of industrial use",,,51.472109,-0.06388,6,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=70b49dd5-28ef-48f7-9b80-a8b102fc5a3f_1568994568.jpg,,,
968db294-8cf7-40d6-82c8-503f0dac77d4,2019-09-20T15:45:50.209Z,"Jessica 103 1030050",Jessica,103,1030050,,"Pallets / storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=968db294-8cf7-40d6-82c8-503f0dac77d4_1568994328.jpg,,51.470524,-0.063978,16,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=968db294-8cf7-40d6-82c8-503f0dac77d4_1568994338.jpg,,,
463ba636-6938-4be6-bbaa-afca50b6d7d7,2019-09-20T15:42:03.589Z,"Jessica 104 1040009",Jessica,104,1040009,"Ali Taylor’s",Taylor,,Yes,,,2,Observed,2,Observed,yes,2,"Ground Floor",1,,,,,"an industrial building with or without a yard",,"Yard shared with others","No car parking on site","No goods access required",,,,Rented/leased,,"Don't know",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.46982,-0.066019,8,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=463ba636-6938-4be6-bbaa-afca50b6d7d7_1568994039.jpg,,,
76f19037-f1a6-4496-8841-534d513f914a,2019-09-20T15:27:21.674Z,"Jessica 84 1577",Jessica,84,1577,"Brew By Numbers","Brewery & Bar",2013,Yes,,,20,Verified,9,Verified,yes,4,"Ground Floor",1,,,Verified,,"railway arch/undercroft space",,"No associated yard space","No car parking on site","Level access to ground floor (e.g. items can be wheeled in)",yes,,2018,Rented/leased,,Yes,yes,"Passing trade, Near to suppliers, Near to other businesses, Near to home, Proximity to Central London, Availability of staff, reasonable rents compared to other locations, public transport",yes,"If residents don’t complain then it works","Size, light, character","Southwark, South London, Europe excluding UK, Central London, UK excluding London","Southwark, South London, Central London, Greater London Area",Growing,no,,,,yes,"More space",no,,,"Craft beer - changes to demand",Yes,,,,,,,,,,2,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=76f19037-f1a6-4496-8841-534d513f914a_1568993221.jpg,yes,51.468904,-0.072926,16,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=76f19037-f1a6-4496-8841-534d513f914a_1568993236.jpg,,,
1e004645-7827-45ca-81c2-dfec8e74bfae,2019-09-20T14:51:54.757Z,"Jessica 104 1040008",Jessica,104,1040008,"Jacob Alexander",Furniture,2010,Yes,,,3,Verified,2,Verified,yes,1,"Ground Floor",2,,,,7,"a yard only/with only modest buildings, an industrial building with or without a yard",,"Yard shared with others",,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in street used, Loading from vehicles in yard used",yes,,2014,Rented/leased,,Yes,no,"Passing trade, Proximity to Central London, Near to other businesses",,,"Height, adaptable, arrangement internally","Southwark, South London, Central London, Greater London Area","South London, Southwark, Central London, Greater London Area",Growing,no,,,,yes,"More space",no,,,,,,,,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1e004645-7827-45ca-81c2-dfec8e74bfae_1568991101.jpg,yes,51.469702,-0.066493,6,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1e004645-7827-45ca-81c2-dfec8e74bfae_1568991110.jpg,,,
ae091fa3-70c9-473d-b97c-8139c57104e6,2019-09-20T14:17:32.215Z,"Jessica 103 1030035",Jessica,103,1030035,"Things maker",Furniture,2015,Yes,,,2,Verified,2,Verified,yes,2,"Level 2",1,27,"Square metres",Verified,2.5,Other,"Car park","No associated yard space","Separate car parking in designated car park on site","Loading from vehicles in street used",no,"Storage and height",2017,Rented/leased,12,Maybe,yes,"Passing trade, Proximity to Central London, Near to customer base, Near to home, reasonable rents compared to other locations",yes,"Would be good as would get more passing trade","Working community, location, access","South London, Central London, Southwark, Greater London Area, UK excluding London","Southwark, Central London, South London, Greater London Area",Growing,yes,"Don’t know",2020,"Size of existing space",yes,"More space",no,,,Brexit,Yes,"Valerio Fornasini",07961499323,Valerio@thingsmaker.co.uk,,Thingsmaker.co.uk,,"Rye Lane",95A,"SE15 4ST",222,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=ae091fa3-70c9-473d-b97c-8139c57104e6_1568989027.jpg,yes,51.471059,-0.067032,65,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=ae091fa3-70c9-473d-b97c-8139c57104e6_1568989048.jpg,31090,,
fc5ca230-d510-48fe-855a-28bbab0f82e2,2019-09-20T14:00:13.870Z,"Jessica 103 1030014",Jessica,103,1030014,"Row x Row","Knitwear Designer",2015,Yes,,,1,Verified,1,Verified,yes,1,"Level 2",1,,,,,Other,"Car park","No associated yard space","Separate car parking in designated car park on site",,no,"Not enough space to share a unit, 
Cold in the winter",2018,Rented/leased,12,"Don't know",yes,"Near to home, reasonable rents compared to other locations, Local amenities",yes,"I think it is a really good idea and also if the working spaces were available to the residents too. No commuting time","People/working community, hard to come by and feel lucky to be away from home, 
Location","UK excluding London","Southwark, South London, Central London, Greater London Area, Rest of World",Growing,yes,"Peckham, Bermondsey, Rotherhithe",2021,"Temporary contract",yes,"More space",yes,"Word of mouth, Own research, Posters or displayed information",,"Having the building refurbished and rent increase or change for housing",YeS,"Elizabeth Tabi",07421719958,Elizabeth.tabi@outlook.com,,,,,,,206,,,no,51.471064,-0.066977,65,,13910,,
5c17f997-8c37-4ac3-91f9-cc72116a0f8f,2019-09-20T12:54:46.888Z,"Jessica 103 1756",Jessica,103,1756,"D & R group PLC","Scaffolding company",1966,Yes,,,300,Verified,300,Verified,yes,150,"Ground Floor, Level 1",2,,,,10,"railway arch/undercroft space, a yard only/with only modest buildings",,"Unit has use of operational yard","Car parking in yard","Level access to ground floor (e.g. items can be wheeled in), Fork lift truck used, Loading from vehicles in yard used",yes,,1966,Rented/leased,48,"Don't know",yes,"Proximity to Central London, Near to customer base, Near to home, reasonable rents compared to other locations, public transport, Local amenities",yes,"Would not work for our business but good idea for other businesses","Large space, car parking, access","South London, Southwark, Central London, Greater London Area, UK excluding London","Southwark, South London, Central London, Greater London Area",Constant,no,,,,no,,no,,,"The arch companion easing rent or reclaiming lore use",Yes,"Nicola Mulholland",,,02076394861,,Accounts@drscaff.co.uk,"Consort Road",,"SE15 2PR",,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=5c17f997-8c37-4ac3-91f9-cc72116a0f8f_1568984063.jpg,yes,51.470577,-0.065527,16,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=5c17f997-8c37-4ac3-91f9-cc72116a0f8f_1568984081.jpg,43991,,
b3ebfd0b-275f-4ef8-b918-54b7153141b4,2019-09-20T12:40:50.604Z,"Jessica 103 1785",Jessica,103,1785,"DBR London Ltd.","Stone mason, lead work, conservation",1990,Yes,,,110,Verified,15,Verified,yes,50,"Ground Floor, Level 1",2,,,,,"an industrial building with or without a yard",,"Yard shared with others","Separate car parking in designated car park on site","Pump truck, Fork lift truck used, Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",no,"Not enough space in office and the yard is shared, expensive in London",1990,Rented/leased,,"Don't know",yes,"Proximity to Central London, Near to customer base, Near to suppliers, Near to other businesses, lack of suitable alternative business premises",yes,"Cannot see that working, especially for this type of business, danger to children and animals, fork lift noise and dust would not work","Cheap rent, near to parent company (used to be under management of D&R), close to some employees","Southwark, South London, UK excluding London, Europe excluding UK, Greater London Area, Central London","Southwark, South London, Central London, Greater London Area, UK excluding London",Growing,yes,,,,yes,"More space",yes,"Word of mouth, Own research, Posters or displayed information",,"No fear",yes,Pat,02072777775,mail@dbrlimited.com,,dbrlimited.com,,"Consort Road",104A,"SE15 2PR",,,,yes,51.470806,-0.064067,65,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=b3ebfd0b-275f-4ef8-b918-54b7153141b4_1568984209.jpg,23700,,
2a0605f1-7651-46af-8d3b-e50da8ca4e47,2019-09-20T12:18:03.341Z,"Jessica 103 1030012",Jessica,103,1030012,"Playdate office","Designers of spaces, accessible and intuitive information experiences",,,,,,,,,,,"Level 2",,12,"Square metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471052,-0.067165,65,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=2a0605f1-7651-46af-8d3b-e50da8ca4e47_1568989191.jpg,,,
f904793c-303b-4dc8-ba71-9fdf364a40ae,2019-09-20T11:54:39.822Z,"Jessica 103 1030011",Jessica,103,1030011,Jewelfish,Jeweller,,Yes,,,1,Verified,0,Verified,no,1,,,,,,,,,,,,,,,Rented/leased,12,"Don't know",,,,,,,,,,,,,,,,,,,,"Geraldine Vaciannia",,,,www.jewelfish.london,,"Rye Lane",95A,"SE15 4ST",215,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f904793c-303b-4dc8-ba71-9fdf364a40ae_1568980608.jpg,,51.470917,-0.06764,65,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f904793c-303b-4dc8-ba71-9fdf364a40ae_1568980626.jpg,32120,,
1e90bfb9-ebac-4b52-813d-fb8b2d605bbe,2019-09-20T11:53:59.553Z,"Jessica 103 1030010",Jessica,103,1030010,"Grey Griffiths",Architects,,Yes,,,2,Observed,2,Observed,yes,2,"Level 4 and above",1,12,"Square metres",Observed,2.3,Other,"Car park (converted)","No associated yard space","Separate car parking in designated car park on site","No goods access required",yes,,2018,Rented/leased,12,"Don't know",yes,"Proximity to Central London, Near to other businesses",yes,,"size, location, local to clients","Southwark, South London, Central London","Southwark, South London, Central London",Constant,yes,,,,yes,"More space",yes,"Word of mouth, Posters or displayed information, Own research, Information received by post or email from LB Southwark, Events hosted by LB Southwark, Events hosted by local community or business organisations",,,,,,,"07786 802 067",https://www.greygriffiths.com/,info@greygriffiths.com,"Rye Lane",95A,"SE15 4ST",415,,,,51.47091,-0.067687,65,,71111,,"Peckham Levels"
19a72f15-3559-4009-90ee-b73769da613a,2019-09-20T11:52:59.581Z,"Jessica 103 1030007",Jessica,103,1030007,"Rebecca Manley","Film production",2014,Yes,,,1,Observed,1,Observed,yes,1,"Level 2",1,12,"Square metres",Observed,2.3,Other,"Car Park (converted)","No associated yard space","No car parking required","No goods access required",yes,,2018,Rented/leased,12,Yes,yes,"Near to home, Proximity to Central London, reasonable rents compared to other locations",yes,"Good idea","Community of creatives, close to home, reliable","South London, Central London, Southwark, Greater London Area, UK excluding London","Southwark, South London, Central London, Greater London Area, UK excluding London",Growing,,,,,,,,,,,No,,,,,https://www.rebeccamanley.com/,INFO@REBECCAMANLEY.COM,"Rye Lane",95A,"SE15 4ST",,,,,51.470912,-0.06769,65,,59112,,
12b2eb4f-c4cb-4996-a62d-15a045e82c13,2019-09-20T11:51:57.909Z,"Jessica 103 1030005",Jessica,103,1030005,"3rd Rail Print Space","Screen printing - fabric and paper",,Yes,,,,,,,,,"Level 3",,80,"Square metres",,,Other,"Car park (converted)","No associated yard space","Separate car parking in designated car park on site","No goods access required",yes,,2018,Rented/leased,42,"Don't know",yes,"Proximity to Central London, Near to customer base, Passing trade, Near to suppliers, Near to home",yes,,"size, near to visitors, suitable for printing","Southwark, South London, Central London, Greater London Area, UK excluding London, Europe excluding UK","Southwark, South London, Central London",Growing,no,,,,no,,yes,"Word of mouth, Posters or displayed information, Own research, Events hosted by LB Southwark, Events hosted by local community or business organisations",,"Changing economic climate",,,,,"0203 795 7109",https://www.3rdrailprintspace.co.uk/,hello@3rdrailprintspace.co.uk,"Rye Lane",95A,"SE15 4ST",107,,,,51.470908,-0.067678,65,,18129,,
06f3b501-8e46-4b43-9a44-647bc2b41afc,2019-09-20T11:50:47.049Z,"Jessica 103 1030004",Jessica,103,1030004,"Codis Maya",Jewellery,,,,,2,Verified,2,Verified,yes,2,"Level 3",1,12,"Square metres",Observed,2.3,Other,"Car park (converted)","No associated yard space","No car parking required","No goods access required",yes,,2018,Rented/leased,12,Yes,yes,"Proximity to Central London, Near to customer base, Near to suppliers, Near to other businesses, reasonable rents compared to other locations",yes,"Good idea but not for all types of businesses","community, extraction, size","Southwark, South London, Central London, Greater London Area, UK excluding London, Europe excluding UK, Rest of World","Southwark, South London, Central London, Greater London Area, UK excluding London, Rest of World, Europe excluding UK",Growing,no,,,,yes,"More space",no,,,Brexit,,,,,"020 8780 9833",https://www.codismaya.com/,,"Rye Lane",95A,"SE15 4ST",309,,,,51.470928,-0.067717,65,,74100,,
0d4a3e4a-963a-46db-919b-a3f3131f88c5,2019-09-20T11:49:58.210Z,"Jessica 103 1030003",Jessica,103,1030003,IntoArt,"Art & Design Studio for people with learning difficulties",,No,"Charity or charitable organisation",,,,,,,,"Level 2",1,40,"Square metres",Observed,2.3,Other,"Car park (converted)","No associated yard space","Separate car parking in designated car park on site","No goods access required",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"020 3409 4542",intoart.org.uk,,"Rye Lane",95A,"SE15 4ST",306,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=0d4a3e4a-963a-46db-919b-a3f3131f88c5_1569007123.jpg,,51.470912,-0.067691,65,,88990,,
a2025cd0-1d73-469b-80b1-7d213f63a298,2019-09-20T11:48:18.009Z,"Jessica 103 1030002",Jessica,103,1030002,"Tilly Sudsbury",Jeweller,,Yes,,,1,Observed,1,Observed,yes,1,"Level 2",1,12,"Square metres",Verified,2.3,Other,"Car park (converted)","No associated yard space","Separate car parking in designated car park on site","No goods access required",yes,,2018,Rented/leased,12,Yes,yes,"Passing trade, Near to suppliers, Near to home, Proximity to Central London, Near to customer base",yes,"Good as there are increasingly less affordable work spaces","creative community, Peckham, easy access","South London, Southwark","South London, Southwark",Growing,no,,,,no,,yes,"Word of mouth",,,,,,"contact tilly@tillysudsbury.com",,https://www.tillysudsbury.com/,,"Rye Lane",95A,"SE15 4ST",,,,,51.470931,-0.067727,65,,32120,,
dfeb09f8-51ab-470c-a198-78060e7f4543,2019-09-20T11:47:33.353Z,"Jessica 103 1030001",Jessica,103,1030001,"Katie Pearce Design","Interior design",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.470947,-0.067731,65,,74100,,
867c70ab-26c7-408b-a929-6ee563b0cdb5,2019-09-20T11:45:41.738Z,"Jessica 103 1030027",Jessica,103,1030027,"Hilary Cottam","Social entrepreneur",,,,,,,,,,,"Level 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.470777,-0.067401,32,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=867c70ab-26c7-408b-a929-6ee563b0cdb5_1568979939.jpg,72200,,
970c9f11-c574-4821-b76b-8b83f811da8a,2019-09-20T11:43:48.982Z,"Jessica 103 1030025",Jessica,103,1030025,"Alexander Owen Architecture + interiors","Architecture and interior designers",,,,,,,,,,,"Level 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.47093,-0.067732,65,,71111,,
