"","query_code","fuc","fuc_2","lat","long","sheet_no","sheet_no_2","mb_note_no","mb_comment","comment_1","comment_2","comment_3","description_M","description_updated","category"
"40",40,761,NA,NA,NA,NA,NA,36,"UK Power Networks building looks industrial (infrastructure / depot perhaps). To check.","NO FUC IN M","Check with surveyor if they know what's going on here. Desktop (first) then on site survey (if desktop unsuccessful) to check info. Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon.",NA,NA,NA,"FUCs queries"
"41",41,NA,NA,51.498341,-0.099816,"6",NA,36,"UK Power Networks building looks industrial (infrastructure / depot perhaps). To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"42",42,NA,NA,51.498364,-0.09932,"6",NA,37,"Railway arches look industrial, with yards. Some may be Ministry of Sound. To check.","Ask surveyor of sheet if they checked, if they didn't, conduct new survey. Ensure railway arch polygons are drawn correctly.",NA,NA,NA,NA,"lat/long new FUC required"
"43",43,858,NA,NA,NA,NA,NA,38,"Waterloo Cars? What is it. To check.",NA,NA,NA,"Car hire","Car hire","FUCs descriptions checked"
"44",44,859,NA,NA,NA,NA,NA,39,"I don’t think this is industrial, but to check.",NA,NA,NA,"Pizza delivery","Pizza delivery","FUCs descriptions checked"
"45",45,7850002,NA,NA,NA,NA,NA,40,"Offices, was a bookshop. No industrial.","confirmed with full survey or verbal check",NA,NA,"Art Gallery","Art Gallery","FUCs descriptions checked"
"46",46,15700001,NA,NA,NA,NA,NA,41,"Tube depot includes frontage building on London Rd. Site extent, sidings and van yard, are all industrial. To check full extent.",NA,NA,NA,"Train Yard","Train Yard","FUCs simple polygon edits needed"
"47",47,15700001,NA,51.49741,-0.107243,NA,NA,41,"Tube depot includes frontage building on London Rd. Site extent, sidings and van yard, are all industrial. Action: Add all buildings on site as per Mark's mapping to FUC 15700001",NA,NA,NA,NA,NA,"FUCs simple polygon edits needed"
"48",48,15700002,NA,NA,NA,NA,NA,42,"I think this is Ruddy Joinery offices / showroom, not workshop, so is not industrial. But to check.",NA,NA,NA,"Ruddy Joinery and Fitout services","Ruddy Joinery and Fitout Services Offices","FUCs descriptions checked"
"49",49,15700003,NA,NA,NA,NA,NA,43,"Morley College workshops, I think, so reasonable to count as industrial. But only building. Looks like outdoors is garden not operational yard.",NA,NA,NA,"University","Morley College Workshops","FUCs descriptions checked"
"50",50,NA,NA,51.49277,-0.099113,"8","19",44,"It looks like there is industrial use in these arches. To check.","Ask surveyor of sheet if they checked, if they didn't, conduct new survey. Ensure railway arch polygons are drawn correctly.",NA,NA,NA,NA,"lat/long new FUC required"
"51",51,NA,NA,51.491958,-0.09923,"8","19",45,"Looks like most or all changed to hospitality use, but to check for industrial.","Ask surveyor of sheet if they checked, if they didn't, conduct new survey. Ensure railway arch polygons are drawn correctly.",NA,NA,NA,NA,"lat/long new FUC required"
"52",52,NA,NA,51.491485,-0.099376,"8",NA,46,"District heating plant, worth including as industrial.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"53",53,781,NA,NA,NA,NA,NA,47,"Royal British Legion, not industrial.",NA,NA,NA,"Royal British Legion Club","Royal British Legion Club","FUCs descriptions checked"
"54",54,900001,NA,NA,NA,NA,NA,48,"Are we sure this is now all vacant?
answer: Warehouse currently habited by Global Guardians' ""smart guardians""","confirmed with full survey or verbal check",NA,NA,"Vacant","Residential","FUCs descriptions checked"
"55",55,814,NA,NA,NA,NA,NA,49,"These are shops, not industrial.","confirmed with full survey or verbal check",NA,NA,"Pharmacy","Pharmacy","FUCs descriptions checked"
"56",56,NA,NA,51.478517,-0.103506,"12","11",50,"Worth checking this bakery. Is it serious enough to count as industrial. Do they bake quantities on site?","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"57",57,NA,NA,51.480557,-0.10074,"11",NA,51,"Vacant car repair workshop, I think.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"58",58,NA,NA,51.477331,-0.100704,"12",NA,52,"Taxi Gearbox Service, with rear access. To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"59",59,NA,NA,51.4518,-0.100809,NA,NA,53,"Yard is part of the industrial.","already shown on map",NA,NA,NA,NA,"lat/long new FUC required"
"60",60,973,NA,NA,NA,NA,NA,54,"This is not industrial, sadly all office use.","confirmed with full survey or verbal check",NA,NA,"Provide flexible co-working / office / workshop space","Provide flexible co-working / office / workshop space","FUCs descriptions checked"
"61",61,NA,NA,51.504169,-0.098198,"15",NA,55,"G Newt Cargo includes arches, extent to be clarified and drawn properly.
","Nearest FUCs are 300001 and 873, sheet no. 15",NA,NA,NA,NA,"FUCs simple polygon edits needed"
"62",62,NA,NA,51.504202,-0.097115,"15",NA,56,"These look like sub-stations. Are we counting as industrial? To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"63",63,NA,NA,51.504249,-0.09609,"15",NA,57,"Car park, car and van rental, perhaps builders. To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"64",64,NA,NA,51.504364,-0.094148,NA,NA,58,"Check that all is vacant.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"65",65,NA,NA,51.504525,-0.093266,"15",NA,59,"Printers in arch access from Redcross Way. Check extent of use.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"66",66,1130,NA,NA,NA,NA,NA,60,"Office use, not industrial.",NA,NA,NA,"Offices / co-working desk spaces","Offices / co-working desk spaces","FUCs descriptions checked"
"67",67,1124,NA,NA,NA,NA,NA,61,"This is now a restaurant.",NA,NA,NA,"Restaurants","Restaurants","FUCs descriptions checked"
"68",68,873,NA,NA,NA,NA,NA,62,"Citizen M hotel. Was previously an office block there.",NA,NA,NA,"Hotel","Hotel","FUCs descriptions checked"
"69",69,NA,NA,51.503732,-0.095317,"15",NA,63,"Flat Iron Yard, this is a small industrial estate. To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"70",70,1030,NA,NA,NA,NA,NA,64,"These 3 are office and residential.
",NA,"confirmed online",NA,"Branding / communications agency","Office and residential","FUCs descriptions checked"
"71",71,1040,NA,NA,NA,NA,NA,65,"RK Burt, paper merchants, this is industrial.
Answer: RK Burts located at 1052 & 1042","confirmed with full survey or verbal check",NA,NA,"Cafe","Cafe","FUCs descriptions checked"
"72",72,1042,NA,NA,NA,NA,NA,66,"Sub station, perhaps. Are we counting as industrial?","confirmed with full survey or verbal check",NA,NA,"Wholesale paper importer","Wholesale paper importer","FUCs descriptions checked"
"73",73,1082,NA,NA,NA,NA,NA,67,"This corner building is not industrial.",NA,NA,NA,"Flats/studios/gallery","Flats/studios/gallery","FUCs descriptions checked"
"74",74,1071,NA,NA,NA,NA,NA,68,"Travis Perkins, industrial, includes north and south yards.",NA,NA,NA,"Builder's merchant","Builder's merchant","FUCs simple polygon edits needed"
"75",75,961,NA,NA,NA,NA,NA,69,"I think these are now all office / residential. To check.",NA,"confirmed online",NA,"Design and communication agency","Office","FUCs descriptions checked"
"76",76,951,NA,NA,NA,NA,NA,70,"Perhaps the Goodlife Centre has a workshop/ To check.","confirmed with full survey or verbal check",NA,NA,"Practical learning courses/workshops","Practical learning courses with workshops","FUCs descriptions checked"
"77",77,NA,NA,51.503491,-0.093582,"15",NA,71,"Prototyping workshop (precision engineering) of Colebrook Bosson Saunders.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"78",78,1105,NA,NA,NA,NA,NA,72,"I don’t think this is industrial. To check.",NA,NA,NA,"Burial ground, garden of remembrance","Burial ground, garden of remembrance","FUCs descriptions checked"
"79",79,1115,NA,NA,NA,NA,NA,73,"Tube sub station or vent.",NA,NA,NA,"unknown function - possible substation?","Substation/vent","FUCs descriptions checked"
"80",80,NA,NA,51.502336,-0.098251,"16",NA,74,"It looks like this yard is in use as an ambulance depot. To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"81",81,NA,NA,51.502042,-0.098517,"16",NA,75,"To check on fire station. Is it now all closed. Is a fire station industrial in our definition?","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"82",82,904,NA,NA,NA,NA,NA,76,"Mint St Adventure Playground building. Not industrial.",NA,NA,NA,"Adventure playground","Adventure playground","FUCs descriptions checked"
"83",83,910,NA,NA,NA,NA,NA,77,"The Tea Warehouse is not proper industrial, but it does include Lee Paton (bespoke garments). To check for other such.",NA,NA,NA,"Couturier","Couturier - bespoke garments","FUCs descriptions checked"
"84",84,914,NA,NA,NA,NA,NA,77,"The Tea Warehouse is not proper industrial, but it does include Lee Paton (bespoke garments). To check for other such",NA,NA,NA,"Offices","Offices","FUCs descriptions checked"
"85",85,903,NA,NA,NA,NA,NA,78,"Check for any / extent of industrial. Is this a book warehouse?","confirmed with full survey or verbal check",NA,NA,"Vacant","Vacant","FUCs descriptions checked"
"86",86,NA,NA,51.501093,-0.09494,"16",NA,79,"Vacant industrial perhaps. To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"87",87,NA,NA,51.500936,-0.094712,"16","17",80,"Lant Street Wine (wholesale warehouse perhaps). To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"88",88,NA,NA,51.499178,-0.096314,NA,NA,81,"Is this medical centre, not industrial? To check","not shown on our maps as industrial - or anything else so no need to check.",NA,NA,NA,NA,"lat/long new FUC required"
"89",89,NA,NA,51.499088,-0.095937,"17",NA,82,"Hotel Elephant I think. To check whether there is some workshop / industrial / studio.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"90",90,906,NA,NA,NA,NA,NA,83,"To check what this is.","confirmed with full survey or verbal check",NA,NA,"Car rental agency","Car rental agency","FUCs descriptions checked"
"91",91,1800001,NA,51.497479,-0.09776,NA,NA,84,"Autocar electrical centre goes deeper.",NA,"confirmed by full survey or verbal check",NA,"Car repair","car repair","FUCs simple polygon edits needed"
"92",92,NA,NA,51.497217,-0.098646,NA,NA,85,"Rail arches were vacant. To check. Planning application drawings show them as to become retail, but that’s not part of the permission.
","ALL VACANT / SOON TO BE UNDER CONSTRUCTION CHECKED BY AGA","Action: draw FUC polygons 870, 871 and 876 properly. Also associated yards.",NA,NA,NA,"FUCs simple polygon edits needed"
"93",93,NA,NA,51.496546,-0.098451,NA,NA,86,"To check what’s become of arch use. It looks like it was a recycling centre. Answer: ALL VACANT / SOON TO BE UNDER CONSTRUCTION CHECKED BY AGA","trusting aga",NA,NA,NA,NA,"lat/long new FUC required"
"94",94,NA,NA,51.496533,-0.099101,NA,NA,87,"Check whether some of the Salvation. Army buildings and yard are industrial (depot, printing works?) CHECKED BY AGA ONLY SALVATION ARMY USES (CHECKED THROUGH INTERVIEW)  - fine, but where is polygon?
","no fuc shown on our mapping","polygon and FUC appear to be missing from our map main. Check and draw polygon / create FUC as needed",NA,NA,NA,"FUCs queries"
"95",95,NA,NA,51.49596,-0.098355,"18","19",88,"These arches look like they are in industrial use. To check use and extent.","Refer to Mark's map for locations to re-survey. Suggest one person does all surveys on railway arches. Ask surveyor of sheet if they checked, if they didn't, conduct new survey. Ensure railway arch polygons are drawn correctly. Railway arches comments: 27, 28, 37, 88, 89, 90, 91",NA,NA,NA,NA,"lat/long new FUC required"
"96",96,NA,NA,51.494813,-0.098522,"NONE",NA,89,"TR Autos in arches. Check extent and for other industrial occupiers.","Refer to Mark's map for locations to re-survey. Suggest one person does all surveys on railway arches. Ask surveyor of sheet if they checked, if they didn't, conduct new survey. Ensure railway arch polygons are drawn correctly. Railway arches comments: 27, 28, 37, 88, 89, 90, 91",NA,NA,NA,NA,"lat/long new FUC required"
"97",97,NA,NA,51.493473,-0.09893,"19","NONE",90,"Some of these arches look like they could be industrial. To check.","Refer to Mark's map for locations to re-survey. Suggest one person does all surveys on railway arches. Ask surveyor of sheet if they checked, if they didn't, conduct new survey. Ensure railway arch polygons are drawn correctly. Railway arches comments: 27, 28, 37, 88, 89, 90, 91",NA,NA,NA,NA,"lat/long new FUC required"
"98",98,NA,NA,51.49134,-0.099147,"19","20",91,"Aren’t more / all of these arches industrial, off Robert Dashwood Way? To check.","Refer to Mark's map for locations to re-survey. Suggest one person does all surveys on railway arches. Ask surveyor of sheet if they checked, if they didn't, conduct new survey. Ensure railway arch polygons are drawn correctly. Railway arches comments: 27, 28, 37, 88, 89, 90, 91",NA,NA,NA,NA,"lat/long new FUC required"
"99",99,1129,NA,NA,NA,NA,NA,92,"Stage Services London Ltd.",NA,NA,NA,"Acoustics Consultancy","Acoustics Consultancy - Stage Services London Ltd.","FUCs descriptions checked"
"100",100,NA,NA,51.490031,-0.09866,"20",NA,93,"Check whether any of the offices below have become industrial.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"101",101,1012,NA,NA,NA,NA,NA,94,"To check. Isn’t this part of Gisela Graham?","confirmed with full survey or verbal check",NA,NA,"Residential","Residential","FUCs descriptions checked"
"102",102,1015,NA,NA,NA,NA,NA,95,"Check on Gisela Graham use? Office and warehouse?","confirmed with full survey or verbal check",NA,NA,"Decoration manufacturers","Decoration manufacturers - office and warehouse","FUCs descriptions checked"
"103",103,1034,NA,NA,NA,NA,NA,96,"This looks like recent residential with yoga at ground floor.",NA,NA,NA,"Yoga studio & resi above","Yoga studio & resi above","FUCs descriptions checked"
"104",104,1045,NA,NA,NA,NA,NA,97,"I think this has been gobbled by the new housing development.","confirmed with full survey or verbal check",NA,NA,"Parking admin","Parking admin offices","FUCs descriptions checked"
"105",105,1045,NA,NA,NA,NA,NA,98,"Worth checking if this is still industrial.","confirmed with full survey or verbal check",NA,NA,"Parking admin","Parking admin offices","FUCs descriptions checked"
"106",106,1026,NA,NA,NA,NA,NA,99,"Worth checking for any residual industrial here.","confirmed with full survey or verbal check",NA,NA,"Residential","Residential","FUCs descriptions checked"
"107",107,NA,NA,51.490248,-0.093281,NA,NA,100,"To check","Already picked up as something and surveyed. not rechecking what's already been done.",NA,NA,NA,NA,"lat/long new FUC required"
"108",108,1140,NA,NA,NA,NA,NA,101,"Strange live-work units. To check.",NA,NA,NA,"Studio/office","Studio/office","FUCs descriptions checked"
"109",109,2000001,NA,NA,NA,NA,NA,102,"What is this? I didn’t spot it as industrial.","confirmed with full survey or verbal check",NA,NA,"Car servicing","Car servicing","FUCs descriptions checked"
"110",110,918,NA,NA,NA,NA,NA,103,"I think this has long been offices, not industrial, but worth checking.","confirmed with full survey or verbal check",NA,NA,"Hotel","Hotel","FUCs descriptions checked"
"111",111,2000010,NA,51.489266,-0.098567,NA,NA,104,"Royal Mail depot includes yard. Action: draw polygon from paercels layer & associate with FUC 2000010
",NA,NA,NA,NA,NA,"FUCs simple polygon edits needed"
"112",112,NA,NA,51.489417,-0.09863,"20",NA,105,"Reed (offices) in approx 80s industrial building and yard. Maybe worth noting somehow as industrial accommodation.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"113",113,NA,NA,51.489578,-0.098472,"20",NA,106,"Are there more industrial uses here, as well as Husky studious (recording / practice, I think).","Ask surveyor of sheet 20 if they've checked this alreadt, if not - new survey.",NA,NA,NA,NA,"lat/long new FUC required"
"114",114,11111201,NA,NA,NA,NA,NA,107,"Have we recorded all industrial use here? Are they still industrial? And how are they accessed? Answer: I recorded as many of these as I could access but many seemed vacant/unsigned/non-industrial or seemingly permanently closed","confirmed with full survey or verbal check",NA,NA,"Railway arches, formerly occupied by industrial businesses","Railway arches, formerly occupied by industrial businesses","FUCs descriptions checked"
"115",115,NA,NA,51.4886,-0.096886,"20","21",108,"These look like studios. To Check for industrial activity.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"116",116,979,NA,NA,NA,NA,NA,109,"Frontage building is surgery, I think, not industrial. To check.",NA,NA,NA,"Surgery","Surgery","FUCs descriptions checked"
"117",117,954,NA,NA,NA,NA,NA,110,"Small buildings (outbuildings) to check. Are they part of Andy Knight site. Answer: Resi owned by Big Metal's owner - inhabited by his staff","confirmed with full survey or verbal check",NA,NA,"Residential","Residential","FUCs descriptions checked"
"118",118,996,NA,NA,NA,NA,NA,111,"Need to capture yard",NA,NA,NA,"Gym","Gym","FUCs simple polygon edits needed"
"119",119,996,NA,NA,NA,NA,NA,111,"Need to capture yard as drawn on Mark's map. Check parcels layer and draw on appropriate polygon.","Gym",NA,NA,NA,NA,"FUCs simple polygon edits needed"
"120",120,996,NA,NA,NA,NA,NA,111,"Arch spaces missing?",NA,"Check whether railway arches have been surveyed, if not, conduct survey (desktop or on site), create FUCs and polygons",NA,"Gym","Gym","FUCs queries"
"121",121,2100004,NA,NA,NA,NA,NA,112,"Why are some arch spaces missing? Need to capture yard",NA,NA,NA,"Vehicle repair","Vehicle repair","FUCs simple polygon edits needed"
"122",122,2100005,NA,NA,NA,NA,NA,112,"Why are some arch spaces missing? Need to capture yard",NA,NA,NA,"Storage shop (bikes)","Storage shop (bikes)","FUCs simple polygon edits needed"
"123",123,11111212,NA,NA,NA,NA,NA,113,"Why are some arch spaces missing? Need to capture yard.
Answer: Former industrial use noted (hence 11111- prefix)",NA,"Check with surveyor if they know what's going on here. Desktop (first) then on site survey (if desktop unsuccessful) to check info. Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon.",NA,"Industrial (unknown)","Industrial (unknown)","FUCs queries"
"124",124,1013,NA,NA,NA,NA,NA,114,"To include yards.",NA,NA,NA,"Ice cream van fleet operation","Ice cream van fleet operation","FUCs simple polygon edits needed"
"125",125,2200001,NA,NA,NA,NA,NA,114,"To include yards.",NA,NA,NA,"Microbrewery (licensed)","Microbrewery (licensed)","FUCs simple polygon edits needed"
"126",126,2200002,NA,NA,NA,NA,NA,114,"To include yards.",NA,NA,NA,"General car repair","General car repair","FUCs simple polygon edits needed"
"127",127,1035,NA,NA,NA,NA,NA,115,"Check yard extents.",NA,NA,NA,"Car service, repair, conversion","Car service, repair, conversion","FUCs simple polygon edits needed"
"128",128,2200010,NA,NA,NA,NA,NA,115,"Check yard extents.",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"129",129,2200006,NA,NA,NA,NA,NA,116,"Why reduced yard extent? Include yard.",NA,NA,NA,"Storage for restaurant","Storage for restaurant","FUCs simple polygon edits needed"
"130",130,1023,NA,NA,NA,NA,NA,117,"Include yard. Is there really residential in a railway arch?",NA,"confirmed by full survey or verbal check",NA,"residential","residential","FUCs simple polygon edits needed"
"131",131,NA,NA,51.483537,-0.095717,"22","23",118,"Isn’t more of the arches industrial?","Ask surveyor of sheet 22/23 if they've checked this already, if not - new survey.",NA,NA,NA,NA,"lat/long new FUC required"
"132",132,NA,NA,51.48541,-0.093326,"22","38",119,"Sub station.","We've excluded utilities but maybe worth surveying anyway?",NA,NA,NA,NA,"lat/long new FUC required"
"133",133,NA,NA,51.482726,-0.095665,"23",NA,120,"Aren’t these arches and yard industrial?","Ask surveyor of sheet 23 if they've checked this already, if not - new survey.",NA,NA,NA,NA,"lat/long new FUC required"
"134",134,1057,NA,NA,NA,NA,NA,121,"This is residential, built before 2012. Answer: Building looks resi, but business is registered here and full survey has been carried out","confirmed with full survey or verbal check","confirmed online",NA,"Artists/Furniture manufacturers","Artists/Furniture manufacturers","FUCs descriptions checked"
"135",135,2300001,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"Car repair","Car repair","FUCs simple polygon edits needed"
"136",136,2300002,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"Florists for events","Florists for events","FUCs simple polygon edits needed"
"137",137,2300003,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"Event florists for weddings/parties","Event florists for weddings/parties","FUCs simple polygon edits needed"
"138",138,2300004,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"Wood workshop- Furniture","Wood workshop- Furniture","FUCs simple polygon edits needed"
"139",139,2300006,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"Graphic printing, photography, furniture","Graphic printing, photography, furniture","FUCs simple polygon edits needed"
"140",140,2300007,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"141",141,2300008,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"Bespoke Carpentry, furniture restoration","Bespoke Carpentry, furniture restoration","FUCs simple polygon edits needed"
"142",142,2300009,NA,NA,NA,NA,NA,122,"Include yard.",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
