"","3_Functional_Unit_Co","5_11_Name_of_organis","Description_of_","Class1"
"56",6240006,"Rufus Gen","Artist","Artist studio"
"57",6240005,"Samuel Kilcoyne","Artist","Artist studio"
"58",6240004,"Simji Park","Artist","Artist studio"
"59",6240003,"South London Guide","Artist","Artist studio"
"60",6240002,"Stef Murphy","Artist","Artist studio"
"61",6240001,"Steven Gee","Artist","Artist studio"
"62",121000010,NA,"Storage","Storage"
"63",121000012,NA,"Clothes Supplier","Clothes Supplier"
"64",121000013,NA,"Vacant","vacant"
"65",121000014,NA,"Scaffolding supplier","Scaffolding supplier"
"66",121000016,NA,"Vacant","vacant"
"67",1370000160005,"Writer","Non industrial","Non industrial"
"68",1370000160004,NA,"Artist","Artist studio"
"69",1370000160003,NA,"Artist","Artist studio"
"70",1370000160002,"Anatomie Studio","Rope Educators and Shibari Artists","Rope Educators and Shibari Artists"
"71",137000014,NA,"Storage","Storage"
"72",137000010,NA,"Hurst Storage","Hurst Storage"
"73",13700009,NA,"Vacant","vacant"
"74",7090006,NA,"Carpentery","Carpentery"
"75",7090005,NA,"Carpentery","Carpentery"
"76",7090004,NA,"Carpentery","Carpentery"
"77",7090003,NA,"Ceramics","Ceramist"
"78",7090002,NA,"Metal fabrication","Metal fabrication"
"79",69900020,NA,"Vacant","vacant"
"80",69900019,NA,"Vacant","vacant"
"81",69900018,"Nick Goss","Artist","Artist studio"
"82",69900017,"Shaun Gladwell","Artist","Artist studio"
"83",69900016,"Jamie George","Artist","Artist studio"
"84",69900015,"Laura Eldret","Artist","Artist studio"
"85",69900014,"Howard Dyke","Artist","Artist studio"
"86",69900013,"Ben Deakin","Artist","Artist studio"
"87",69900012,"Mahal de Man","Artist","Artist studio"
"88",69900011,"Chris Daniels","Artist","Artist studio"
"89",69900010,"Marcus Cope","Artist","Artist studio"
"90",6990009,"Sonia Boyce","Artist","Artist studio"
"91",6990008,NA,"Vacant","vacant"
"92",6990007,"Andrew Bick","Artist","Artist studio"
"93",6990006,"David Austen","Artist","Artist studio"
"94",6990005,"Tonico Auad","Artist","Artist studio"
"95",6990004,"Mike Armitage","Artist","Artist studio"
"96",6990003,"Frank Ammerlaan","Artist","Artist studio"
"97",69900002,NA,"Vacant","vacant"
"98",69900001,"Anja Aichinger","Artist","Artist studio"
"99",7300003,"Arbnor Ltd","Property Renovation & Extension specialists","Property Renovation & Extension specialists"
"100",7300001,NA,"unidentifiable","unidentifiable"
"101",9100002,"Boro Construction","Building Contractors","Building Contractors"
"102",9000001,"Standage Building & Refurbishment Contractors","Builders","Builders"
"103",9100001,"C.S Morton & Partners","Builders & Decorators","Builders & Decorators"
"104",137000011,"Bruno Romanelli","Glass Artist","Glass Artist"
"105",1010000300017,"Robbie Fife","Artist","Artist studio"
"106",1010000300016,"Work-Form","Graphic Designers","Graphic Designers"
"107",1010000300015,"Fran Meana","Artist","Artist studio"
"108",1010000300014,"Jon Kipps","Artist","Artist studio"
"109",1010000300013,"Edgar-Walker","Artist","Artist studio"
"110",1010000300012,"Rosalind Wilson","Artist","Artist studio"
"111",1010000300011,"Katja Larsson","Artist","Artist studio"
"112",1010000300010,"Lea Collet","Artist","Artist studio"
"113",101000030009,"Natalia Janula","Artist","Artist studio"
"114",101000030008,"Ruaidhri Ryan","Artist","Artist studio"
"115",101000030007,"George Morris","Artist","Artist studio"
"116",101000030006,"Rutie Borthwick","Artist","Artist studio"
"117",101000030005,"Angus McCrum","Artist","Artist studio"
"118",101000030004,"Charlie Godet Thomas","Artist","Artist studio"
"119",101000030003,"Chan Brisco Architects","Architecture practice","Architecture practice"
"120",101000030002,"Charlie Thorne","Director & Photographer","Director & Photographer"
"121",12700001,"Rye Park Dry Cleaners","Dry cleaners","Dry cleaners"
"122",17250008,NA,"Fabricators","Fabricators"
"123",17250007,NA,"Fabricators","Fabricators"
"124",17250006,NA,"Garage","Garage"
"125",17250005,NA,"Vacant","vacant"
"126",13800006,"Brewers Decorators Centre","Hardware suppliers for home decoration","Hardware suppliers for home decoration"
"127",10600001,"Easy Print","Printing and graphic design","Printing and graphic design"
"128",5200004,"Southampton Way Dry Cleaners","Dry Cleaning","Dry Cleaning"
"129",5200003,"Gurays The Crusty Load","Bakery","Bakery"
"130",89000060003,"DHA","Designers","Designers"
"131",89000060002,"Ben Anders","Photographer","Photography studio"
"132",89000060001,"Today Creative","Graphic designers","Graphic design"
"133",8900005,"DesignTank","Design Consultancy","Design Consultancy"
"134",8900004,"Anorak","Homeware Designers and retail","Homeware Designers and retail"
"135",9500036,NA,"vacant","vacant"
"136",9500035,NA,"vacant","vacant"
"137",9500034,NA,"vacant","vacant"
"138",9500033,NA,"vacant","vacant"
"139",9500032,NA,"vacant","vacant"
"140",9500031,NA,"vacant","vacant"
"141",9500030,NA,"vacant","vacant"
"142",9500029,NA,"vacant","vacant"
"143",9500028,"Matt Ledge Theatrical Engineer","Theatrical Metal Worker/Fabricator","Theatrical Metal Worker/Fabricator"
"144",9500027,NA,"vacant","vacant"
"145",9500026,NA,"vacant","vacant"
"146",9500025,NA,"vacant","vacant"
"147",9500024,NA,"unidentifiable","unidentifiable"
"148",9500023,NA,"unidentifiable","unidentifiable"
"149",9500022,NA,"unidentifiable","unidentifiable"
"150",9500021,NA,"Textile manufactuer","Textile manufactuer"
"151",9500020,NA,"unidentifiable","unidentifiable"
"152",9500019,NA,"unidentifiable","unidentifiable"
"153",9500018,NA,"Screen Printers/Book Makers/Printer","Screen Printers/Book Makers/Printer"
"154",9500017,NA,"unidentifiable","unidentifiable"
"155",9500016,"Black and Callow","Financial Mail Print","Financial Mail Print"
"156",9500015,NA,"derelict","derelict"
"157",9500014,NA,"derelict","derelict"
"158",9500013,NA,"derelict","derelict"
"159",9500012,NA,"derelict","derelict"
"160",9500011,NA,"unidentifiable","unidentifiable"
"161",9500010,NA,"unidentifiable","unidentifiable"
"162",11400002,NA,"unidentifiable","unidentifiable"
"163",11400001,NA,"unidentifiable","unidentifiable"
"164",8900003,"Nimtim Architects","Architecture Practice","Architecture Practice"
"165",178300003,"WG Studios","Fabricators","Fabricators"
"166",178300002,"Cole Coating Workshop","Spray painting Equipment","Spray painting Equipment"
"167",178300001,"Lipley & Parker","Fabricators","Fabricators"
"168",3600065,NA,"Artist studio","Artist studio"
"169",3600064,NA,"Artist studio","Artist studio"
"170",3600063,NA,"Artist studio","Artist studio"
"171",3600062,NA,"Artist studio","Artist studio"
"172",3600061,NA,"Artist studio","Artist studio"
"173",3600060,NA,"Artist studio","Artist studio"
"174",1030036,"Fashtag","Fashion maker","Fashion maker"
"175",1030033,"Pyramid projects","Producer and mix engineer","Producer and mix engineer"
"176",1030032,"The Reasons Why Foundation","Behaviour and thinking","Behaviour and thinking"
"177",1030030,"I need therapy!","Counselling and psychotherapy","Counselling and psychotherapy"
"178",1030029,"The Movement Factory","Dance Company / Community Partnership","Dance Company / Community Partnership"
"179",1030028,"Santiago Sounds","Music Industry","Music Industry"
"180",1030026,"MRA","Architecture & Interior Design","Architecture practice"
"181",1030024,"Jon Enoch","Photographer","Photography studio"
"182",1030022,"C.Burke","Fashion maker","Fashion maker"
"183",1030021,"C.Burke","Fashion maker","Fashion maker"
"184",1030020,"Gal-dem","Magazine and creative collective of women of colour","Magazine and creative collective of women of colour"
"185",1030019,"INxSANxTY","Visual artists","Visual artists"
"186",1030017,"Champion 3D Print","Printing service","Printing service"
"187",1030016,"Florencia Durante","Visual artist / art consultant / educator","Visual artist / art consultant / educator"
"188",1030015,"Luca Paulli","Animator, director and designer","Animator, director and designer"
"189",1826,NA,"Vacant","vacant"
"190",1030051,NA,"Unidentifiable","unidentifiable"
"191",1030050,NA,"Pallets / storage","Pallets / storage"
"192",1040009,"Ali Taylor’s","Taylor","Taylor"
"193",1577,"Brew By Numbers","Brewery & Bar","Brewery & Bar"
"194",1040008,"Jacob Alexander","Furniture","Furniture"
"195",1030035,"Things maker","Furniture","Furniture"
"196",1030014,"Row x Row","Knitwear Designer","Knitwear Designer"
"197",1756,"D & R group PLC","Scaffolding company","Scaffolding company"
"198",1785,"DBR London Ltd.","Stone mason, lead work, conservation","Stone mason, lead work, conservation"
"199",1030012,"Playdate office","Designers of spaces, accessible and intuitive information experiences","Designers of spaces, accessible and intuitive information experiences"
"200",1030011,"Jewelfish","Jeweller","Jeweller"
"201",1030010,"Grey Griffiths","Architects","Architecture practice"
"202",1030007,"Rebecca Manley","Film production","Film production"
"203",1030005,"3rd Rail Print Space","Screen printing - fabric and paper","Screen printing - fabric and paper"
"204",1030004,"Codis Maya","Jewellery","Jewellery"
"205",1030003,"IntoArt","Art & Design Studio for people with learning difficulties","Art & Design Studio for people with learning difficulties"
"206",1030002,"Tilly Sudsbury","Jeweller","Jeweller"
"207",1030001,"Katie Pearce Design","Interior design","Interior design"
"208",1030027,"Hilary Cottam","Social entrepreneur","Social entrepreneur"
"209",1030025,"Alexander Owen Architecture + interiors","Architecture and interior designers","Architecture practice"
"210",1030023,"The Kiln Rooms","Ceramics","Ceramist"
"211",1030009,"Ella Bull","Jewellery maker with British heritage","Jewellery maker with British heritage"
"212",1030031,"Peckham Rye Festival","Events","Events"
"213",1030018,"Sarah Preece Studios","Sculptor","Sculptor"
"214",1030013,"Evah Kale","Jeweller","Jeweller"
"215",1030006,"Anastasia Martynova","Wood carving and gilding","Wood carving and gilding"
"216",1030034,"Nicola Pasterfield","Floral artist for fashion & interiors","Floral artist for fashion & interiors"
"217",3600059,NA,"Artist studio","Artist studio"
"218",3600058,NA,"Artist studio","Artist studio"
"219",3600057,NA,"Artist studio","Artist studio"
"220",3600056,NA,"Artist studio","Artist studio"
"221",3600055,NA,"Artist studio","Artist studio"
"222",3600054,NA,"Artist studio","Artist studio"
"223",3600053,NA,"Artist studio","Artist studio"
"224",3600052,NA,"Artist studio","Artist studio"
"225",3600051,NA,"Artist studio","Artist studio"
"226",3600050,NA,"Artist studio","Artist studio"
"227",3600049,NA,"Artist studio","Artist studio"
"228",3600048,NA,"Artist studio","Artist studio"
"229",3600047,NA,"Artist studio","Artist studio"
"230",3600046,NA,"Artist studio","Artist studio"
"231",3600045,NA,"Artist studio","Artist studio"
"232",3600044,NA,"Artist studio","Artist studio"
"233",3600043,NA,"Artist studio","Artist studio"
"234",3600042,NA,"Artist studio","Artist studio"
"235",3600041,NA,"Artist studio","Artist studio"
"236",3600040,NA,"Artist studio","Artist studio"
"237",3600039,NA,"Artist studio","Artist studio"
"238",3600038,NA,"Artist studio","Artist studio"
"239",3600037,NA,"Artist studio","Artist studio"
"240",3600036,NA,"Artist studio","Artist studio"
"241",3600035,NA,"Artist studio","Artist studio"
"242",3600034,NA,"Artist studio","Artist studio"
"243",3600033,NA,"Artist studio","Artist studio"
"244",1030008,"Andreas Hudelmayer","Violin, viola and cello maker","Violin, viola and cello maker"
"245",1345,"New Signature","Software Company","Software Company"
"246",1329,NA,"vacant","vacant"
"247",1360,NA,"demolished","demolished"
"248",1358,NA,"demolished","demolished"
"249",1356,NA,"demolished","demolished"
"250",17870267,NA,"unidentifiable","unidentifiable"
"251",17870266,NA,"unidentifiable","unidentifiable"
"252",17870265,NA,"unidentifiable","unidentifiable"
"253",17870264,NA,"unidentifiable","unidentifiable"
"254",3600032,NA,"Artist studio","Artist studio"
"255",3600031,NA,"Artist studio","Artist studio"
"256",17870263,NA,"unidentifiable","unidentifiable"
"257",17870262,NA,"unidentifiable","unidentifiable"
"258",3600030,NA,"Artist studio","Artist studio"
"259",3600029,NA,"Artist studio","Artist studio"
"260",3600028,NA,"Artist studio","Artist studio"
"261",17870261,NA,"unidentifiable","unidentifiable"
"262",3600027,NA,"Artist studio","Artist studio"
"263",3600026,NA,"Artist studio","Artist studio"
"264",3600025,NA,"Artist studio","Artist studio"
"265",3600024,NA,"Artist studio","Artist studio"
"266",3600023,NA,"Artist studio","Artist studio"
"267",3600022,NA,"Artist studio","Artist studio"
"268",3600021,NA,"Artist studio","Artist studio"
"269",17870260,NA,"unidentifiable","unidentifiable"
"270",3600020,NA,"Artist studio","Artist studio"
"271",3600019,NA,"Artist studio","Artist studio"
"272",17870259,"First I.T","IT service provider/manager","IT service provider/manager"
"273",17870258,NA,"unidentifiable","unidentifiable"
"274",17870257,NA,"unidentifiable","unidentifiable"
"275",17870256,NA,"unidentifiable","unidentifiable"
"276",17870255,NA,"VIsual Artist/Painter","VIsual Artist/Painter"
"277",17870254,NA,"unidentifiable","unidentifiable"
"278",17870253,NA,"unidentifiable","unidentifiable"
"279",17870252,NA,"unidentifiable","unidentifiable"
"280",17870251,NA,"unidentifiable","unidentifiable"
"281",17870250,NA,"unidentifiable","unidentifiable"
"282",8700006,"Brown & Co Picture Framing","Picture Framing","Picture Framing"
"283",17870249,"Capital People London Ltd","Employment Agency","Employment Agency"
"284",14500030,NA,"Artist studio","Artist studio"
"285",14500029,NA,"Artist studio","Artist studio"
"286",14500028,NA,"Artist studio","Artist studio"
"287",14500027,NA,"Artist studio","Artist studio"
"288",14500026,NA,"Artist studio","Artist studio"
"289",14500025,NA,"Artist studio","Artist studio"
"290",14500024,NA,"Artist studio","Artist studio"
"291",14500023,NA,"Art studio","Art studio"
"292",8700005,"J&B Impress","Dry cleaners","Dry cleaners"
"293",8700007,"Balfes Bikes & Workshop","Bike Sales, Servicing & Repairs","Bicycle service"
"294",8700004,"Evans Cycles","Bicycle Repairs, Servicing & Sales","Bicycle service"
"295",8900002,"The Arterie Picture Framing","Picture Framing","Picture Framing"
"296",8900007,"Runcent Joinery","Demolished","demolished"
"297",8800003,"Lordship Dry Cleaners","Dry cleaners","Dry cleaners"
"298",7100002,NA,"Vacant","vacant"
"299",3e+05,"Premier Plant Hire","Tools & Machinery Plant Hire & Sale","Tools & Machinery Plant Hire & Sale"
"300",30000010,"Dulwich Storage Company Ltd","Storage","Storage"
"301",15800138,"Unknown photographer (?)","Appears to be photography studio","Appears to be photography studio"
"302",15800137,"Unknown photographer","Photography studio","Photography studio"
"303",15800136,"New Smile Lab","Cosmetic dentistry","Cosmetic dentistry"
"304",15800135,"Unknown artist","Fine art - painting (?)","Fine art - painting (?)"
"305",15800134,"Jules Clarke","Painting fine art","Painting fine art"
"306",15800133,"Social life","Social research","Social research"
"307",15800132,"Frank Bowling","Artistic creation","Artist studio"
"308",15800131,"Stephen Barber & Sandi Harris Lutemakers","Lutemakers","Lutemakers"
"309",15800130,"Michael Leal (?)","Historic woodcarving","Historic woodcarving"
"310",15800129,"Unknown artist / maker","Workshop/studio activities","Workshop/studio activities"
"311",15800128,"Objectif","Graphic design","Graphic design"
"312",15800127,"Unknown artist/maker","workshop/studio creation","workshop/studio creation"
"313",15800126,"StructureMode","Structural engineering","Structural engineering"
"314",15800125,"Stephen Bull","Restoration historic buildings","Restoration historic buildings"
"315",15800124,"Featherstone Cairns","PR consultant","PR consultant"
"316",15800123,"Burgess Architects (?)","Architectural practice","Architecture practice"
"317",15800122,"Can of worms","Art and media production","Art and media production"
"318",15800121,"Tiny owl publishing","Children's publishing","Children's publishing"
"319",15800120,"Jamjar Flowers","Bespoke florist","Bespoke florist"
"320",15800119,"Takero Shimazaki Architects","Architectural practice","Architecture practice"
"321",15800118,"L'atelier de Couture","Men's tailoring","Men's tailoring"
"322",15800117,"L'atelier Linda Brooker","Women's tailoring","Women's tailoring"
"323",15800116,"Unknown market/artist/designer","Unknown market/artist/designer","Unknown market/artist/designer"
"324",15800115,"'the tinkerer'","Tinkering/making","Tinkering/making"
"325",15800114,"Unknown photographer","Photography studio","Photography studio"
"326",15800113,"Unknown artist","Artistic creation","Artist studio"
"327",15800112,"Hello Tomo","Health-tec startup","Health-tec startup"
"328",15800111,"Unknown artist","Artistic creation","Artist studio"
"329",15800110,"Unknown artist","Artistic creation","Artist studio"
"330",15800109,"unknown artist","Artistic creation","Artist studio"
"331",15800108,"Inverse Lighting","Lighting design","Lighting design"
"332",15800107,"unknown craftsperson","making in workshop","making in workshop"
"333",1545,NA,"Vacant","vacant"
"334",1534,NA,"Storage facility","Storage facility"
"335",15800106,NA,"unknown freelance designer","unknown freelance designer"
"336",15800105,NA,"unknown freelance designer","unknown freelance designer"
"337",15800104,NA,"unknown freelance designer","unknown freelance designer"
"338",15800103,"Team 51.5 architects","Architecture","Architecture practice"
"339",15800102,"FAB architecture","Freelance architect","Freelance architect"
"340",1040006,"123 Productions","Recording studio","Recording studio"
"341",15800101,"Independent carpenter","Carpentry","Carpentry"
"342",17870248,NA,"unidentifiable","unidentifiable"
"343",17870247,NA,"unidentifiable","unidentifiable"
"344",17870246,NA,"unidentifiable","unidentifiable"
"345",1040005,"Kiln rooms","Pottery manufacturers","Pottery manufacturers"
"346",17870245,NA,"unidentifiable","unidentifiable"
"347",17870244,NA,"unidentifiable","unidentifiable"
"348",17870243,NA,"unidentifiable","unidentifiable"
"349",17870242,NA,"unidentifiable","unidentifiable"
"350",17870241,NA,"unidentifiable","unidentifiable"
"351",17870240,NA,"unidentifiable","unidentifiable"
"352",17870239,"Dominic Hawgood","Visual Artist","Visual Artist"
"353",17870238,NA,"Photography Studio","Photography studio"
"354",17870237,"Roo Foods","Kitchen Makers/Equipment Producer","Kitchen Makers/Equipment Producer"
"355",17870236,NA,"unidentifiable","unidentifiable"
"356",17870235,NA,"unidentifiable","unidentifiable"
"357",17870234,NA,"unidentifiable","unidentifiable"
"358",17870233,NA,"unidentifiable","unidentifiable"
"359",17870232,NA,"unidentifiable","unidentifiable"
"360",17870231,NA,"unidentifiable","unidentifiable"
"361",17870230,"Black Hair Care","Hair Beauty products Retailer","Hair Beauty products Retailer"
"362",17870229,NA,"Unidentifiable","unidentifiable"
"363",17870228,"Store and Archive","Bespoke Designers","Bespoke Designers"
"364",15800054,"John Whitfield Photography","Photography","Photography studio"
"365",15800053,"Change the Picture Limited","Photography","Photography studio"
"366",15800052,"Natasha Daintry","Ceramist","Ceramist"
"367",15800051,NA,"unidentified","unidentifiable"
"368",15800050,"Ruth Anthony Engravers","Engraving","Engraving"
"369",15800049,NA,"unidentified","unidentifiable"
"370",15800048,NA,"unidentified","unidentifiable"
"371",15800047,NA,"vacant","vacant"
"372",15800046,NA,"unidentified","unidentifiable"
"373",15800045,NA,"unidentified","unidentifiable"
"374",15800044,"Ivy Studios Limited","Interior and Architecture Practice","Interior and Architecture Practice"
"375",15800043,"Sandy Randel Architects","Architecture Practice","Architecture Practice"
"376",15800042,"Lumbricus","IT support","IT support"
"377",15800041,"Superfolk Limited","Video production","Video production"
"378",15800040,"Studio Schubert","Interior and Architecture design","Architecture practice"
"379",15800039,"Databugs","IT services","IT services"
"380",1081,NA,"development","development"
"381",240012,NA,"vacant","vacant"
"382",240011,NA,"vacant","vacant"
"383",240010,NA,"vacant","vacant"
"384",240009,NA,"vacant","vacant"
"385",240008,NA,"vacant","vacant"
"386",240007,NA,"vacant","vacant"
"387",240006,NA,"vacant","vacant"
"388",240005,NA,"vacant","vacant"
"389",10640011,NA,"vacant","vacant"
"390",10640010,NA,"vacant","vacant"
"391",10640009,NA,"vacant","vacant"
"392",10640008,NA,"vacant","vacant"
"393",10640007,NA,"vacant","vacant"
"394",10640006,NA,"vacant","vacant"
"395",10640005,NA,"vacant","vacant"
"396",10640004,NA,"vacant","vacant"
"397",10640003,NA,"vacant","vacant"
"398",10640002,NA,"vacant","vacant"
"399",10640001,NA,"vacant","vacant"
"400",13100001,NA,"development","development"
"401",1492,"Bompas and Parr","Multi sensory experience design studio","Multi sensory experience design studio"
"402",15800038,"Viktoria Redman","Ceramist","Ceramist"
"403",15800037,"Anouska Tamony","Interior and Architecture design","Architecture practice"
"404",15800036,"Cottrell & Vermeulen","Architecture Practice","Architecture Practice"
"405",15800035,"Electric Elephant","Cafe","Cafe"
"406",15800034,"Escape Plan","Entertainment games","Entertainment games"
"407",15800033,"Conscious Co-Living Ltd","Management Consultants","Management Consultants"
"408",15800032,"Ian Wilson Events","Events logistics and support","Events logistics and support"
"409",15800031,"Spa Glazing Company","Glass materials","Glass materials"
"410",15800030,"Antiblanks","Digital and IT services","Digital and IT services"
"411",15800029,"Six O’ Clock Cleaning Services Limited","Cleaning services","Cleaning services"
"412",15800028,"Davis Landscape Architects","Architecture Practice","Architecture Practice"
"413",15800027,"Bird on the wire","Events company","Events company"
"414",15800026,"David Cowley","Artisit, Ceramist","Artist studio"
"415",15800025,"Daniel Reynolds","Sculpture","Sculpture"
"416",15800024,"Joka van Wijk","Ceramist","Ceramist"
"417",15800023,"Barbara Wakefield","Artist and Ceramist","Artist studio"
"418",15800022,"Dacapo/Peter Spanton Drinks","Drinks supplier and designer","Drinks supplier and designer"
"419",15800021,NA,"unidentified","unidentifiable"
"420",15800020,"Fiona Squires Design","Interior design","Interior design"
"421",15800019,"Donna Brennan","Jewellery designer","Jewellery designer"
"422",15800018,"Peter Massingham","Photography","Photography studio"
"423",15800017,"Modulor Studio","Architecture Practice","Architecture Practice"
"424",15800016,"Ecospace/IPT Architects","Architecture Practice","Architecture Practice"
"425",15800015,"Monno Design","Ceramics Design and manufacture","Ceramist"
"426",15800014,"Ellie Stidolph Studio","Stylist","Stylist"
"427",15800013,"Atelier Works","Graphic designing","Graphic designing"
"428",15800012,"Jonathan Cook Landscape Architects","Architecture design","Architecture practice"
"429",15800011,"Ludwig Willis Architects","Architecture Practice","Architecture Practice"
"430",15800010,"Darren Stacey Architecture Urban Design","Architecture Practice","Architecture Practice"
"431",15800009,"Herbert and Taylor Ltd. Architects","Architecture Practice","Architecture Practice"
"432",15800008,"The New Typography Workshop","Typography","Typography"
"433",16100001,"Waite Street Depot (id Verde)","Council Waste/maintenance depot (for park?)","Council Waste/maintenance depot (for park?)"
"434",16200002,NA,"substation","substation"
"435",16200001,"W. Uden & Sons Ltd","Funeral directors","Funeral directors"
"436",16500008,"B&B Glaziers","Glaziers ang property maintenance","Glaziers ang property maintenance"
"437",16500007,"Nunhead Drycleaning","Dry cleaning, alterations","Dry cleaning, alterations"
"438",16500005,NA,"residential","residential"
"439",16500006,NA,"residential","residential"
"440",16500004,"Nunhead Motor spares and repairs","Motor spares & accessories","Motor spares & accessories"
"441",16500003,"All Cars (Nunhead) Ltd.","Car service, repairs","Vehicle repair"
"442",16500002,"Hand Car Wash","Car wash, valeting","Car wash"
"443",16500001,"MKK","Plumbing and heating merchants","Plumbing and heating merchants"
"444",18380501,"I Heart Studios","Photography Based Content Creator","Photography Based Content Creator"
"445",18380415,NA,"vacant","vacant"
"446",18380414,"Kajara Ltd.","unidentifiable","unidentifiable"
"447",18380413,NA,"vacant","vacant"
"448",18380412,"SILCS Soltuons","Rental and Leasing of Charging Stations","Rental and Leasing of Charging Stations"
"449",18380411,"Sevda London","Leather Goods Product Retailer","Leather Goods Product Retailer"
"450",18380410,"Inivicomm","Brand and Investment Agency","Brand and Investment Agency"
"451",954,"Residential","residential","residential"
"452",18380409,NA,"vacant","vacant"
"453",18380408,"HH+","Architect","Architecture practice"
"454",18380407,"Spehere9 Ltd.","unidentifiable","unidentifiable"
"455",18380406,"Sense of Wander Ltd.","Creative Product Developer","Creative Product Developer"
"456",18380405,NA,"vacant","vacant"
"457",15900002,"Dulwich Storage Company","Self storage","Self storage"
"458",15900001,"Premier Plant Hire","Plant / tool hire","Plant / tool hire"
"459",15800007,"The Structure Workshop","Structural Engineers","Structural Engineers"
"460",15800006,"Studio in the Dark Room/2 Iliffe yard","Photography","Photography studio"
"461",15800005,"Grind","Coffee roasters","Coffee roasters"
"462",15800004,"Loowatt","Sanitary Fixtures/ Invention and distribution","Sanitary Fixtures/ Invention and distribution"
"463",15800003,"HMC Packing","Packaging service","Packaging service"
"464",15800002,"Flowers by Flourish","Florist","Florist"
"465",15800001,"Morris Associates","Exhibition designers","Exhibition designers"
"466",15700003,"Learning for Life at Morleys","University","University"
"467",15700002,"Rudy Joinery & Fit-Out Specialists","Joinery and fit-out services","Joinery and fit-out services"
"468",15700001,"Lambeth London Underground Depot","Train Yard","Train Yard"
"469",16300001,"Bazalgette Tunnel Limited/Tideway Project","Tunnel Construction","Tunnel Construction"
"470",18380404,"Theatrum Mundi","Research Based Charitable organisation focused on Cities","Research Based Charitable organisation focused on Cities"
"471",18380403,"Atelier Dyakova","Graphic Design/Multi-Disciplinary Branding","Graphic Design/Multi-Disciplinary Branding"
"472",18380402,"101 Architecture+Design","Architectrual Consultants","Architecture practice"
"473",18380401,"Clubfreelance","Temporary Employment Agency","Temporary Employment Agency"
"474",18380314,NA,"vacant","vacant"
"475",18380313,"Mind Link","IT consultants specialising in business ""chat""","IT consultants specialising in business ""chat"""
"476",18380312,"Grotesk","Graphic Design/Branding","Graphic Design/Branding"
